applicant_id,ism,jins,yosh,viloyat,bandlik,ish_staji_oy,deklaratsiya_daromad,oila_azolari,talim,mijoz_boldi_oy
A000001,Qurbonov Shahzoda,F,40,Surxondaryo,xususiy,27,2080000,6,oliy,23
A000002,Umarov Malika,F,58,Toshkent,xususiy,74,3150000,2,orta_maxsus,26
A000003,Qurbonov Zarina,F,27,Navoiy,xususiy,54,3440000,6,orta,102
A000004,Ergashev Oybek,M,59,Sirdaryo,xususiy,119,4580000,4,orta_maxsus,70
A000005,Ravshanov Nurbek,M,62,Farg'ona,xususiy,26,3280000,6,orta,116
A000006,Ergashev Shuhrat,M,22,Andijon,xususiy,106,3770000,4,orta_maxsus,25
A000007,Nazarov Diyor,M,36,Toshkent,savdo,23,6620000,6,orta,86
A000008,Xolmatov Dilnoza,F,52,Andijon,savdo,35,2560000,4,oliy,1
A000009,Hamidov Gulnora,F,28,Andijon,savdo,133,3480000,1,orta_maxsus,4
A000010,Nazarov Davron,M,27,Xorazm,transport,157,3480000,2,orta_maxsus,95
A000011,Ergashev Oybek,M,53,Sirdaryo,qurilish,110,2650000,2,orta_maxsus,105
A000012,Qodirov Madina,F,37,Jizzax,o'z_ishi,21,1420000,4,orta,116
A000013,Aliyev Javohir,M,38,Surxondaryo,IT,160,4520000,2,orta_maxsus,60
A000014,Sultonov Sardor,M,43,Andijon,qurilish,8,2690000,5,oliy,100
A000015,Raximov Aziza,F,50,Navoiy,o'z_ishi,135,7180000,3,orta,24
A000016,Musayev Shahzoda,F,29,Sirdaryo,savdo,8,1820000,6,orta,103
A000017,G'ulomov Shahzoda,F,50,Jizzax,byudjet,36,3000000,2,oliy,85
A000018,Sharipov Aziza,F,55,Navoiy,xususiy,144,2870000,1,orta_maxsus,85
A000019,Muhammadiyev Otabek,M,52,Samarqand,byudjet,33,14160000,6,oliy,46
A000020,Xolmatov Umid,M,48,Samarqand,o'z_ishi,109,3870000,1,orta_maxsus,84
A000021,Qodirov Diyor,M,60,Samarqand,byudjet,26,5060000,2,oliy,61
A000022,Yo'ldoshev Islom,M,32,Qashqadaryo,savdo,149,8710000,2,orta_maxsus,50
A000023,Nazarov Dilnoza,F,50,Andijon,byudjet,149,1870000,6,oliy,65
A000024,Ochilov Aziza,F,42,Samarqand,savdo,38,2720000,5,orta_maxsus,106
A000025,Mirzayev Umid,M,61,Jizzax,transport,134,6280000,5,orta,13
A000026,Bekmurodov Zilola,F,37,Namangan,xususiy,11,4160000,3,orta_maxsus,6
A000027,Ismoilov Nozima,F,48,Navoiy,xususiy,31,6430000,3,oliy,9
A000028,Qurbonov Shohruh,M,26,Andijon,IT,157,1350000,1,orta_maxsus,63
A000029,Ismoilov Zarina,F,42,Buxoro,xususiy,24,2060000,5,orta_maxsus,47
A000030,Nazarov Mohira,F,55,Navoiy,byudjet,46,3940000,3,oliy,46
A000031,Nurmatov Javohir,M,22,Xorazm,xususiy,18,1520000,2,oliy,19
A000032,Bekmurodov Mirzo,M,54,Toshkent,o'z_ishi,176,2180000,6,orta,103
A000033,Saidov Rustam,M,31,Samarqand,xususiy,155,13530000,2,oliy,39
A000034,Hamidov Mirzo,M,58,Surxondaryo,xususiy,58,4040000,5,orta_maxsus,120
A000035,Ravshanov Malika,F,55,Buxoro,o'z_ishi,159,3750000,7,orta_maxsus,96
